id,order_id,product_id,pack_id,product_name,product_image,quantity,size,color,price_at_purchase
7a9068d6-c44c-4f13-a342-1d1a62e817be,11e10755-286e-45f0-915d-1aed30832de9,130f367f-3480-475b-ac7a-4c1dea1ce95c,,"EL’HUR ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/q26zmzxh0n.jpeg,1,38,Blanc,19900.00
7e5753b9-cd3f-42fa-9d79-69c79a04801a,3b281230-2f1e-4a51-97a1-57894bfd4312,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,42,Blanc,19900.00
7fbece83-3029-40b5-8dcd-f9a0b2152057,ec674672-2fcc-4eb4-984a-e87770f317e6,e37e3fbd-a832-4c44-b2e1-eddd23f795b9,,DIAMANTINA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/zuf1iujn2eg.jpeg,1,40,,19900.00
80f85913-d7f7-4411-b027-ed7ba627ddf3,0c777394-d5d6-4288-85f6-0084c4f9ceb3,811fe3e6-20cf-471f-a45d-4b3d142528f7,,LORA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/742f35aqtfw.jpeg,1,,,2500.00
816f6f39-4e9a-4735-a59a-b425583a1d1a,e1b03343-95a1-4a49-818a-83808e4570e2,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,,"L A Y A L I ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/s7g7wuk03f.jpeg,1,40,Blanc,28000.00
83dd5bd9-6766-45f1-a21a-f35733c1e209,731d4014-c4c7-4f25-9af5-c03f14c830ac,,3cf97357-cad7-4c8c-9e77-3d8a7324f93e,"BRIDAL CAFTAN ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/packs/v1irr595ph9.jpeg,1,,,20000.00
85bdb6d3-e460-41e8-8325-c420d553a830,c072eb38-a141-4753-bfab-68d02d1efbf9,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,40,Ivoire,16900.00
87ed22a5-b651-4522-8fde-1ac309e2845f,9e6c51c9-0cc4-49c3-8e73-7c98d79587f8,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,38 (Modèle 4),Blanc,16900.00
88c8b68d-9594-48db-8b98-18e9bca7be66,281ee504-3c24-4f5e-ae08-308baf70a0d0,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,38,Blanc,19900.00
8a89fdbb-c18b-47da-a908-b233084cb074,827f6ead-f952-485f-9241-b9468e72a984,df7d62c7-2862-4c80-9d80-0cf1c8fdabbd,,LUNE PERLÉE,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/ob6qt8u1uq.jpeg,1,,,1200.00
8d83e137-890b-4859-8129-ab151572426f,02a6e1b2-815d-4fce-b1e8-eec7f7041d3a,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,42,Ivoire,16900.00
8ffdc393-8650-428f-90e9-81b6d0082e4d,c7058f99-146f-43cd-a10a-f80bbfa93af1,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,40,Blanc,19900.00
91097c80-d092-45e5-bb3c-03f51df2d02e,87e32d0e-d0a1-4242-af7e-478f3bc9e271,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,38,Ivoire,16900.00
