id,product_id,type,value,label,is_available
677004a8-17c2-4250-8b4f-68916c4fbd76,130f367f-3480-475b-ac7a-4c1dea1ce95c,size,42,42,true
739750e7-9d0a-4e5e-b0fd-a376f92b31e9,130f367f-3480-475b-ac7a-4c1dea1ce95c,size,44,44,true
c2801c87-8909-46ac-8ab6-fa49cd267fd5,130f367f-3480-475b-ac7a-4c1dea1ce95c,size,46,46,true
065f5c43-3d84-4f37-88c6-eee3073e8012,130f367f-3480-475b-ac7a-4c1dea1ce95c,size,48,48,true
6175259c-6b80-4a08-8e34-4e5251d752b6,130f367f-3480-475b-ac7a-4c1dea1ce95c,size,50,50,true
6a53e6b5-f63f-4561-ac57-d24e03406fee,130f367f-3480-475b-ac7a-4c1dea1ce95c,color,#FFFFFF,Blanc,true
1846f421-0332-4ecf-84bb-bfc75157a06c,130f367f-3480-475b-ac7a-4c1dea1ce95c,color,#1A1714,Noir,true
a15371be-c767-47a7-8ae1-0e6b702b2caa,130f367f-3480-475b-ac7a-4c1dea1ce95c,color,#8B1A1A,Bordeaux,true
530af362-f5c3-4bc4-b7fe-2c72dc478685,130f367f-3480-475b-ac7a-4c1dea1ce95c,color,#D4B896,Beige,true
bda3b149-bc70-49ae-b7d5-918384977f45,130f367f-3480-475b-ac7a-4c1dea1ce95c,color,#F0EBE0,Ivoire,true
5eaa4fd3-dcdc-4774-a324-38a496a34051,2700725c-5e98-43c0-b5b0-f148cc9ed33a,size,36,36,true
9e25bfef-2a6b-49db-bb57-34dde7e49842,2700725c-5e98-43c0-b5b0-f148cc9ed33a,size,38,38,true
8f2e6205-f327-435d-9ef6-4b3c9ee9634d,2700725c-5e98-43c0-b5b0-f148cc9ed33a,size,40,40,true
1b40d364-16bd-47f4-b6ac-ce8e1a4cc00d,2700725c-5e98-43c0-b5b0-f148cc9ed33a,size,42,42,true
899b900a-c70e-4b97-99ba-5210fd737ccd,2700725c-5e98-43c0-b5b0-f148cc9ed33a,size,44,44,true
30b6ca0e-bf8b-4183-949f-606e742db8d0,2700725c-5e98-43c0-b5b0-f148cc9ed33a,size,46,46,true
0cd84792-24d9-4cb9-b573-430fff4ddef1,2700725c-5e98-43c0-b5b0-f148cc9ed33a,size,48,48,true
2f17d185-f58e-44f9-96eb-b33577d3466e,2700725c-5e98-43c0-b5b0-f148cc9ed33a,size,50,50,true
1c95dd11-1615-4719-8f7d-e9ca27bb6a04,2700725c-5e98-43c0-b5b0-f148cc9ed33a,color,#F0EBE0,Ivoire,true
ce53f08f-d7ba-47bf-9cd6-6262ec0bcb3d,2700725c-5e98-43c0-b5b0-f148cc9ed33a,color,#8B1A1A,Bordeaux,true
0311a49d-3707-4a76-b21f-cca0714c4b12,2700725c-5e98-43c0-b5b0-f148cc9ed33a,color,#2D5A27,Vert,true
81693013-1b8e-480b-a931-33d4d5f9ddbd,2700725c-5e98-43c0-b5b0-f148cc9ed33a,color,#9CA3AF,Gris,true
cab532ad-82d2-42c8-8b04-fd8e0761904d,4d73c702-3405-4827-9966-ab564134c71b,size,36,36,true
7524874f-b01e-4f17-a038-05b388a2b6b0,4d73c702-3405-4827-9966-ab564134c71b,size,38,38,true
54699606-d508-4976-9d6c-1373ecd9ec3d,4d73c702-3405-4827-9966-ab564134c71b,size,40,40,true
b8a48028-0ca5-4f09-8940-e593614b58fa,4d73c702-3405-4827-9966-ab564134c71b,size,42,42,true
e3c0f04e-ad5e-4371-a766-bcc17099c8df,4d73c702-3405-4827-9966-ab564134c71b,size,44,44,true
d9776678-2782-427c-8e40-9523a4d6b33f,4d73c702-3405-4827-9966-ab564134c71b,size,46,46,true
ccebe967-3bd8-4ce1-a82b-568b5b7036a2,4d73c702-3405-4827-9966-ab564134c71b,size,48,48,true
47b8dd8a-6c25-4dc9-a304-e6c588a63beb,4d73c702-3405-4827-9966-ab564134c71b,color,#F0EBE0,Ivoire,true
0b1f2a6a-a76b-4af3-800f-85a452470b57,4d73c702-3405-4827-9966-ab564134c71b,color,#FFFFFF,Blanc,true
b2ffbfd3-2a64-4bf1-bb68-b1809efd2b71,4d73c702-3405-4827-9966-ab564134c71b,color,#D4B896,Beige,true
f4011ca3-99df-4d73-a4ce-5a4d091295bf,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,size,36,36,true
02ba6d7d-210a-4df9-b2f0-eaf4a64ca042,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,size,38,38,true
8fe0776e-8606-4bdb-885b-38b24821787c,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,size,40,40,true
0425f69c-5eaf-4de4-a8f3-1a9f30985089,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,size,42,42,true
7ec16c13-dd4f-4dc9-bcc6-7786bdfcedca,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,size,44,44,true
5c86c0bd-677f-4e41-b565-c78de0eeabc5,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,size,46,46,true
92e0d3e5-03e3-41e1-99c6-9b6f3b30acf8,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,color,#FFFFFF,Blanc,true
